,datetime,symbol,收盤價
442687,2014-07-29,2610,10.25
444202,2014-07-30,2610,10.35
445717,2014-07-31,2610,10.2
447232,2014-08-01,2610,10.2
448747,2014-08-04,2610,10.2
450262,2014-08-05,2610,10.05
451777,2014-08-06,2610,10.0
453292,2014-08-07,2610,10.1
454807,2014-08-08,2610,10.0
456322,2014-08-11,2610,10.0
457837,2014-08-12,2610,9.96
459352,2014-08-13,2610,10.0
460867,2014-08-14,2610,10.0
462383,2014-08-15,2610,9.96
463899,2014-08-18,2610,9.82
465415,2014-08-19,2610,9.9
466931,2014-08-20,2610,9.99
468447,2014-08-21,2610,9.96
469963,2014-08-22,2610,10.15
471479,2014-08-25,2610,10.15
472997,2014-08-26,2610,10.1
474516,2014-08-27,2610,10.1
476035,2014-08-28,2610,10.1
477554,2014-08-29,2610,10.0
479073,2014-09-01,2610,10.05
480592,2014-09-02,2610,10.05
482111,2014-09-03,2610,10.1
483630,2014-09-04,2610,10.05
485149,2014-09-05,2610,10.05
486668,2014-09-09,2610,10.1
488187,2014-09-10,2610,10.05
489705,2014-09-11,2610,10.15
491223,2014-09-12,2610,10.1
492741,2014-09-15,2610,10.2
494261,2014-09-16,2610,10.1
495781,2014-09-17,2610,10.15
497301,2014-09-18,2610,10.25
498821,2014-09-19,2610,10.2
500341,2014-09-22,2610,10.2
501861,2014-09-23,2610,10.15
503381,2014-09-24,2610,10.15
504901,2014-09-25,2610,10.2
506422,2014-09-26,2610,10.15
507943,2014-09-29,2610,10.1
509464,2014-09-30,2610,10.2
510985,2014-10-01,2610,10.1
512507,2014-10-02,2610,10.05
514029,2014-10-03,2610,10.1
515551,2014-10-06,2610,10.15
517073,2014-10-07,2610,10.05
518597,2014-10-08,2610,10.05
520121,2014-10-09,2610,10.05
521646,2014-10-13,2610,9.9
523171,2014-10-14,2610,10.0
524696,2014-10-15,2610,10.15
526222,2014-10-16,2610,10.15
527748,2014-10-17,2610,10.0
529274,2014-10-20,2610,10.15
530800,2014-10-21,2610,10.3
532326,2014-10-22,2610,10.5
533852,2014-10-23,2610,11.0
535378,2014-10-24,2610,11.0
536904,2014-10-27,2610,11.3
538430,2014-10-28,2610,11.35
539959,2014-10-29,2610,11.4
541488,2014-10-30,2610,11.9
543017,2014-10-31,2610,11.9
544546,2014-11-03,2610,12.15
546076,2014-11-04,2610,12.2
547606,2014-11-05,2610,12.25
549136,2014-11-06,2610,11.85
550666,2014-11-07,2610,12.05
552196,2014-11-10,2610,12.1
553726,2014-11-11,2610,12.2
555256,2014-11-12,2610,12.2
556786,2014-11-13,2610,12.4
558316,2014-11-14,2610,12.8
559846,2014-11-17,2610,12.5
561376,2014-11-18,2610,12.3
562906,2014-11-19,2610,12.45
564436,2014-11-20,2610,12.4
565966,2014-11-21,2610,12.3
567496,2014-11-24,2610,12.3
569026,2014-11-25,2610,12.5
570556,2014-11-26,2610,12.5
572086,2014-11-27,2610,12.5
573617,2014-11-28,2610,13.05
575148,2014-12-01,2610,13.85
576679,2014-12-02,2610,13.8
578210,2014-12-03,2610,14.65
579741,2014-12-04,2610,14.15
581274,2014-12-05,2610,14.4
582807,2014-12-08,2610,14.5
584340,2014-12-09,2610,14.6
585874,2014-12-10,2610,14.4
587407,2014-12-11,2610,14.8
588940,2014-12-12,2610,14.65
590474,2014-12-15,2610,14.75
592008,2014-12-16,2610,14.6
593542,2014-12-17,2610,13.7
595077,2014-12-18,2610,13.9
